hour,H2 Cavern,CAES Diabatic,BATTERY Li-ion
1,0.0,136.0,4346.0
2,0.0,136.0,4346.0
3,0.0,136.0,4346.0
4,0.0,136.0,4346.0
5,0.0,136.0,4346.0
6,43513.356974380295,136.0,4346.0
7,0.0,136.0,4346.0
8,0.0,136.0,4346.0
9,0.0,136.0,4346.0
10,0.0,136.0,4346.0
11,0.0,136.0,4346.0
12,44133.00852650117,136.0,4553.757218928402
13,0.0,136.0,4553.757218928402
14,0.0,136.0,4553.757218928402
15,0.0,136.0,6649.322529292171
16,0.0,136.0,8692.0
17,0.0,136.0,8692.0
18,44752.66007862205,136.0,6438.703967350786
19,0.0,136.0,4185.407934701572
20,0.0,136.0,4185.407934701572
21,0.0,136.0,2253.296032649214
22,0.0,136.0,0.0
23,0.0,136.0,0.0
24,45372.31163074293,136.0,0.0
25,0.0,136.0,0.0
26,0.0,136.0,2095.565310363769
27,0.0,136.0,2095.565310363769
28,0.0,136.0,4191.130620727538
29,0.0,136.0,4191.130620727538
30,45991.96318286381,136.0,4191.130620727538
31,0.0,136.0,3742.129674800224
32,0.0,136.0,3742.129674800224
33,0.0,136.0,3742.129674800224
34,0.0,136.0,3359.268348169438
35,0.0,136.0,3359.268348169438
36,46611.61473498469,136.0,3359.268348169438
37,0.0,136.0,5454.833658533207
38,0.0,183.11178196587343,7550.398968896976
39,0.0,183.11178196587343,8692.0
40,0.0,183.11178196587343,8692.0
41,0.0,183.11178196587343,8692.0
42,47231.266287105565,183.11178196587343,6438.703967350786
43,0.0,183.11178196587343,4185.407934701572
44,0.0,183.11178196587343,2405.3040689086934
45,0.0,183.11178196587343,2405.3040689086934
46,0.0,183.11178196587343,2405.3040689086934
47,0.0,183.11178196587343,2405.3040689086934
48,47850.91783922645,183.11178196587343,4500.869379272463
49,0.0,183.11178196587343,4500.869379272463
50,0.0,183.11178196587343,6596.434689636231
51,0.0,224.8882180341265,6596.434689636231
52,0.0,272.0,8692.0
53,0.0,272.0,8692.0
54,48470.56939134732,272.0,8692.0
55,0.0,272.0,6704.383613364739
56,0.0,272.0,6704.383613364739
57,0.0,272.0,6704.383613364739
58,0.0,272.0,6704.383613364739
59,0.0,272.0,8692.0
60,49090.2209434682,272.0,8428.433926084323
61,0.0,272.0,8031.730828225926
62,0.0,272.0,8031.730828225926
63,0.0,272.0,5778.4347955767125
64,0.0,272.0,4863.347928431679
65,0.0,272.0,2610.051895782465
66,49709.87249558908,272.0,356.7558631332513
67,0.0,272.0,0.0
68,0.0,272.0,0.0
69,0.0,272.0,0.0
70,0.0,272.0,0.0
71,0.0,272.0,0.0
72,50329.52404770996,272.0,0.0
73,0.0,272.0,2095.565310363769
74,0.0,272.0,2095.565310363769
75,0.0,272.0,4191.130620727538
76,0.0,272.0,6286.695931091308
77,0.0,272.0,6596.434689636231
78,50949.17559983084,272.0,8692.0
79,0.0,272.0,8549.592958917703
80,0.0,272.0,8549.592958917703
81,0.0,272.0,8549.592958917703
82,0.0,272.0,6596.434689636231
83,0.0,272.0,6596.434689636231
84,51568.82715195172,272.0,6596.434689636231
85,0.0,272.0,6596.434689636231
86,0.0,272.0,8692.0
87,0.0,272.0,8692.0
88,0.0,272.0,8692.0
89,0.0,272.0,8692.0
90,52188.47870407259,247.4626135594409,6438.703967350786
91,0.0,247.4626135594409,4185.407934701572
92,0.0,247.4626135594409,2253.296032649214
93,0.0,247.4626135594409,0.0
94,0.0,247.4626135594409,0.0
95,0.0,247.4626135594409,0.0
96,52808.13025619347,247.4626135594409,0.0
97,0.0,247.4626135594409,30.31339275086691
98,0.0,247.4626135594409,309.73875854492417
99,0.0,247.4626135594409,2405.3040689086934
100,0.0,247.4626135594409,4500.869379272463
101,0.0,247.4626135594409,6596.434689636231
102,53427.78180831435,247.4626135594409,8692.0
103,0.0,247.4626135594409,8692.0
104,0.0,247.4626135594409,8692.0
105,0.0,247.4626135594409,8692.0
106,0.0,247.4626135594409,8692.0
107,0.0,247.4626135594409,8692.0
108,52776.26531703112,247.4626135594409,8692.0
109,0.0,247.4626135594409,8692.0
110,0.0,247.4626135594409,8692.0
111,0.0,247.4626135594409,8692.0
112,0.0,247.4626135594409,8692.0
113,0.0,247.4626135594409,8692.0
114,52124.7488257479,222.92522711888185,6438.703967350786
115,0.0,198.38784067832276,4877.878407268452
116,0.0,173.85045423776364,3179.497217329968
117,0.0,149.31306779720455,926.201184680754
118,0.0,124.77568135664546,0.0
119,0.0,100.23829491608636,0.0
120,51473.23233446467,100.23829491608636,0.0
